,movie_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,1,movie,Na Boca da Noite,Na Boca da Noite,0,2016,\N,68,Drama
1,2,short,Miedzy Wroclawiem a Zielona Gv=ra,Miedzy Wroclawiem a Zielona Gv=ra,0,2010,\N,11,"Documentary,Short"
2,3,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,"Comedy,Drama"
3,4,movie,Chief Zabu,Chief Zabu,0,2016,\N,74,Comedy
4,5,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017,\N,80,"Comedy,Drama,Fantasy"
5,6,movie,Bigfoot,Bigfoot,0,2017,\N,\N,"Horror,Thriller"
6,7,short,Landscape with the Fall of Icarus,Landscape with the Fall of Icarus,0,2016,\N,26,"Animation,Short"
7,8,movie,Joe Finds Grace,Joe Finds Grace,0,2017,\N,83,"Adventure,Animation,Comedy"
8,9,movie,Nema aviona za Zagreb,Nema aviona za Zagreb,0,2012,\N,82,Biography
9,10,movie,Pv°l Adrienn,Pv°l Adrienn,0,2010,\N,136,Drama
10,11,movie,So Much for Justice!,Oda az igazsv°g,0,2010,\N,100,History
11,12,movie,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,0,2013,\N,180,Documentary
