,movie_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,1,movie,Na Boca da Noite,Na Boca da Noite,0,2016,\N,68,Drama
1,2,short,Miedzy Wroclawiem a Zielona Gv=ra,Miedzy Wroclawiem a Zielona Gv=ra,0,2010,\N,11,"Documentary,Short"
2,3,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,"Comedy,Drama"
3,4,movie,Chief Zabu,Chief Zabu,0,2016,\N,74,Comedy
4,5,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017,\N,80,"Comedy,Drama,Fantasy"
5,6,movie,Bigfoot,Bigfoot,0,2017,\N,\N,"Horror,Thriller"
6,7,short,Landscape with the Fall of Icarus,Landscape with the Fall of Icarus,0,2016,\N,26,"Animation,Short"
7,8,movie,Joe Finds Grace,Joe Finds Grace,0,2017,\N,83,"Adventure,Animation,Comedy"
8,9,movie,Nema aviona za Zagreb,Nema aviona za Zagreb,0,2012,\N,82,Biography
9,10,movie,Pv°l Adrienn,Pv°l Adrienn,0,2010,\N,136,Drama
10,11,movie,So Much for Justice!,Oda az igazsv°g,0,2010,\N,100,History
11,12,movie,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,0,2013,\N,180,Documentary
12,1088,movie,Na Boca da Noite,Na Boca da Noite,0,2016,\N,68,Drama
13,1089,short,Miedzy Wroclawiem a Zielona Gv=ra,Miedzy Wroclawiem a Zielona Gv=ra,0,2010,\N,11,"Documentary,Short"
14,1090,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,"Comedy,Drama"
15,1091,movie,Chief Zabu,Chief Zabu,0,2016,\N,74,Comedy
16,1092,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017,\N,80,"Comedy,Drama,Fantasy"
17,1093,movie,Bigfoot,Bigfoot,0,2017,\N,\N,"Horror,Thriller"
18,1094,short,Landscape with the Fall of Icarus,Landscape with the Fall of Icarus,0,2016,\N,26,"Animation,Short"
19,1095,movie,Joe Finds Grace,Joe Finds Grace,0,2017,\N,83,"Adventure,Animation,Comedy"
20,1096,movie,Nema aviona za Zagreb,Nema aviona za Zagreb,0,2012,\N,82,Biography
21,1097,movie,Pv°l Adrienn,Pv°l Adrienn,0,2010,\N,136,Drama
22,1098,movie,So Much for Justice!,Oda az igazsv°g,0,2010,\N,100,History
23,1099,movie,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,0,2013,\N,180,Documentary
24,1100,movie,Children of the Green Dragon,A zv?ld sv°rkv°ny gyermekei,0,2010,\N,89,Drama
25,1101,short,Le sacre d'automne,Le sacre d'automne,0,2014,\N,27,"Drama,Short"
26,1102,tvSeries,Edinburgh Nights,Edinburgh Nights,0,2014,\N,29,\N
27,1103,movie,T.G.M. - osvoboditel,T.G.M. - osvoboditel,0,2018,\N,60,Documentary
28,1104,movie,The Tragedy of Man,Az ember tragv©div°ja,0,2011,\N,160,"Animation,Drama,History"
29,1105,movie,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,0,2011,\N,\N,\N
30,1106,movie,Bande de cons!,Bande de cons!,0,2018,\N,82,Drama
31,1107,tvSeries,First Take,First Take,0,2017,\N,\N,\N
32,1108,video,Flexing with Monty,Flexing with Monty,0,2010,\N,90,"Comedy,Drama,Horror"
33,1109,movie,Summer of the Moonlight Sonata,Gekko no natsu,0,2015,\N,\N,\N
34,1110,movie,Os Monstros de Babaloo,Os Monstros de Babaloo,0,2016,\N,100,Comedy
35,1111,short,To Parsifal,To Parsifal,0,2017,\N,16,Short
36,1112,tvSeries,Counterpoint,Counterpoint,0,2012,\N,\N,\N
37,1113,short,Nadja in Paris,Nadja v† Paris,0,2010,\N,13,Short
38,1114,short,Veronica and Her Dunce,Vv©ronique et son cancre,0,2010,\N,18,"Comedy,Short"
39,1115,movie,The Final Journey,The Final Journey,0,2010,\N,120,Drama
40,1116,movie,Los pv°jaros se van con la muerte,Los pv°jaros se van con la muerte,0,2011,\N,110,"Drama,Mystery"
41,1117,movie,Foodfight!,Foodfight!,0,2012,\N,91,"Action,Animation,Comedy"
42,1118,movie,Return to Babylon,Return to Babylon,0,2013,\N,75,"Biography,Comedy,Drama"
43,1119,movie,In Memoriam Alfons Vranckx,Le Saigneur est avec nous,0,2018,\N,90,"Action,Adventure,Comedy"
44,1120,short,Reading Between the Lines,Reading Between the Lines,0,2017,\N,36,"Documentary,Drama,Short"
45,1121,tvSeries,TV2 hjelper deg,TV2 hjelper deg,0,2018,\N,25,\N
46,1122,tvSeries,The Di Palma Forum at UNLV,The Di Palma Forum at UNLV,0,2012,\N,\N,\N
47,1123,video,Ha-Kosem Me'eretz Utz Hamachzemer,Ha-Kosem Me'eretz Utz Hamachzemer,0,2015,\N,58,"Family,Musical"
48,1124,movie,To Chase a Million,To Chase a Million,0,2018,\N,97,"Action,Drama"
49,1125,movie,Short Time Heroes,Kurzzeithelden,0,2015,\N,45,Sci-Fi
50,1126,movie,Life's a Beach,Life's a Beach,0,2012,\N,100,Comedy
51,1127,movie,Dark Blood,Dark Blood,0,2012,\N,86,Thriller
52,1128,movie,Neeyum Naanum,Neeyum Naanum,0,2018,\N,136,\N
53,1129,movie,Snowblind,Snowblind,0,2015,\N,\N,"Crime,Drama"
54,1130,short,Edie: Girl on Fire,Edie: Girl on Fire,0,2010,\N,28,Short
55,1131,tvSeries,Escape with ET,Escape with ET,0,2012,\N,\N,Family
56,1132,tvSeries,James Robison,James Robison,0,2010,\N,30,\N
57,1133,tvSeries,Sta ftera tou erota,Sta ftera tou erota,0,2018,\N,\N,Drama
58,1134,movie,Second Coming,Second Coming,0,2012,\N,95,\N
59,1135,short,Paradjanov: The Color of Armenian Land,Tsvet armyanskoy zemli,0,2012,\N,16,"Documentary,Short"
60,1136,movie,Lives No Longer Ours,Lives No Longer Ours,0,2011,\N,90,"Drama,Romance"
61,1137,movie,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,0,2010,\N,45,"Adventure,Animation,Sci-Fi"
62,1138,video,Puppetry of the Penis: Live at the Forum,Puppetry of the Penis: Live at the Forum,0,2012,\N,52,Comedy
63,1139,movie,Wazir,Wazir,0,2016,\N,103,"Action,Crime,Drama"
64,1140,movie,The Wicker Tree,The Wicker Tree,0,2011,\N,96,"Drama,Horror"
65,1141,movie,The Overnight,The Overnight,0,2010,\N,88,\N
66,1142,movie,In My Sleep,In My Sleep,0,2010,\N,104,"Drama,Mystery,Thriller"
67,1143,movie,Rice Girl,Rice Girl,0,2014,\N,95,"Adventure,Comedy,Romance"
68,1144,movie,Regret Not Speaking,Regret Not Speaking,0,2011,\N,\N,\N
69,1145,movie,"Tiden v§r en drv?m, del 2","Tiden v§r en drv?m, del 2",0,2014,\N,109,\N
70,1146,movie,This Wretched Life,This Wretched Life,0,2010,\N,99,"Comedy,Drama"
71,1147,movie,Bunyan and Babe,Bunyan and Babe,0,2017,\N,84,"Adventure,Animation,Comedy"
72,1148,movie,On the Road,On the Road,0,2012,\N,124,"Adventure,Drama,Romance"
73,1149,movie,Blind Sided,Blind Sided,0,2010,\N,\N,"Comedy,Crime,Drama"
74,1150,movie,Chatv¥ - The King of Brazil,Chatv¥: O Rei do Brasil,0,2015,\N,102,Biography
75,1151,movie,The Evil Within,The Evil Within,0,2017,\N,98,Horror
76,1152,tvMovie,The Patchwork Girl of Oz,The Patchwork Girl of Oz,0,2018,\N,\N,"Adventure,Animation,Family"
77,1153,movie,Transev?ntes,Transev?ntes,0,2015,\N,101,"Comedy,Drama"
78,1154,movie,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,0,2013,\N,114,"Adventure,Comedy,Drama"
79,1155,movie,Fahrenheit 451,Fahrenheit 451,0,2018,\N,100,"Drama,Sci-Fi,Thriller"
80,1156,videoGame,Duke Nukem Forever,Duke Nukem Forever,0,2011,\N,\N,"Action,Adventure,Comedy"
81,1157,movie,Aman Ke Farishtey,Aman Ke Farishtey,0,2016,\N,137,Action
82,1158,movie,Nappily Ever After,Nappily Ever After,0,2018,\N,\N,"Comedy,Drama,Romance"
83,1159,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Crime,Drama,Mystery"
84,1160,movie,Boy with a Movie Camera,Boy with a Movie Camera,0,2017,\N,\N,Documentary
85,1161,movie,The Promise of Perfume,The Promise of Perfume,0,2017,\N,57,Documentary
86,1162,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi"
87,1163,short,Death of a Nation,Death of a Nation,0,2010,\N,26,"Drama,Music,Short"
88,1164,movie,Spy,Spy,0,2011,\N,110,"Action,Crime,Drama"
89,1165,tvMiniSeries,The Pacific,The Pacific,0,2010,2010,530,"Action,Adventure,Drama"
90,1166,movie,The Rum Diary,The Rum Diary,0,2011,\N,119,"Comedy,Drama"
91,1167,movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama"
92,1168,movie,Gnomeo & Juliet,Gnomeo & Juliet,0,2011,\N,84,"Adventure,Animation,Comedy"
93,1169,movie,The Payback Man,The Payback Man,0,2010,\N,\N,"Crime,Drama,Thriller"
94,1170,short,Turning It Over,Turning It Over,0,2010,\N,\N,"Drama,Short"
95,1171,movie,Cloud Cuckoo Land,Cloud Cuckoo Land,0,2012,\N,92,Drama
96,1172,movie,The Three Stooges,The Three Stooges,0,2012,\N,92,"Comedy,Family"
97,1173,tvMiniSeries,The Crimson Petal and the White,The Crimson Petal and the White,0,2011,\N,274,"Drama,Romance"
98,1174,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,\N,"Crime,Drama"
99,1175,video,Young Alexander the Great,Young Alexander the Great,0,2010,\N,90,"Action,Adventure,Mystery"
100,1176,movie,Anderson's Cross,Anderson's Cross,0,2010,\N,98,"Comedy,Drama,Romance"
101,1177,tvEpisode,Helicopters,Helicopters,0,2010,\N,44,"Documentary,History"
102,1178,movie,Den milde smerte,Den milde smerte,0,2010,\N,280,Drama
103,1179,tvSeries,Local 2 News,News2Houston,0,2013,\N,\N,News
104,1180,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy"
105,1181,tvSeries,Wish ko lang,Wish ko lang,0,2015,\N,\N,Documentary
106,1182,movie,The Connecticut Kid,The Connecticut Kid,0,2011,\N,87,Adventure
107,1183,movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi"
108,1184,movie,Capture the Flag,Capture the Flag,0,2010,\N,\N,Drama
109,1185,movie,Burnt by the Sun 2,Utomlennye solntsem 2,0,2010,\N,181,"Drama,War"
110,1186,movie,Action Jackson,Action Jackson,0,2014,\N,144,Action
111,1187,movie,Gambit,Gambit,0,2012,\N,89,"Comedy,Crime"
112,1188,movie,Bubbles,Bubbles,0,2011,\N,80,Drama
113,1189,video,11:11,11:11,0,2011,\N,\N,"Crime,Drama"
114,1190,movie,Seven Fallen Objects,Seven Fallen Objects,0,2011,\N,90,"Comedy,Drama"
115,1191,movie,In Secret,In Secret,0,2013,\N,107,"Crime,Drama,Thriller"
116,1192,movie,Cowboys & Aliens,Cowboys & Aliens,0,2011,\N,119,"Action,Sci-Fi,Thriller"
117,1193,tvEpisode,Movie Theatre Tech,Movie Theatre Tech,0,2011,\N,\N,"Documentary,History"
118,1194,movie,Tekken,Tekken,0,2010,\N,87,"Action,Crime,Drama"
119,1195,movie,Asleep in the Sun,Dormir al sol,0,2010,\N,83,Fantasy
120,1196,movie,Hempsters: Plant the Seed,Hempsters: Plant the Seed,0,2010,\N,90,Documentary
121,1197,video,Destination Fame,Destination Fame,0,2012,\N,\N,"Drama,Musical"
122,1198,movie,Disconnect,Disconnect,0,2010,\N,112,"Drama,Mystery,Sci-Fi"
123,1199,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History"
124,1200,short,Nonkina tosan Yamazaki kaido,Nonkina tosan Yamazaki kaido,0,2016,\N,\N,"Animation,Comedy,Short"
125,1201,tvMovie,Hemingway & Gellhorn,Hemingway & Gellhorn,0,2012,\N,155,"Biography,Drama,Romance"
126,1202,movie,Venus & Vegas,Venus & Vegas,0,2010,\N,95,"Action,Comedy,Crime"
127,1203,movie,The Ninth Cloud,The Ninth Cloud,0,2014,\N,93,Drama
128,1204,movie,El borde del tiempo,El borde del tiempo,0,2011,\N,100,Drama
129,1205,movie,Beisbol,Beisbol,0,2010,\N,\N,Documentary
130,1206,movie,Pots and Pans,Acorralados,0,2012,\N,\N,Drama
131,1207,movie,Dinner for Schmucks,Dinner for Schmucks,0,2010,\N,114,Comedy
132,1208,movie,Masters of the Universe,Masters of the Universe,0,2019,\N,\N,"Action,Adventure,Drama"
133,1209,movie,The A-Team,The A-Team,0,2010,\N,117,"Action,Adventure,Comedy"
134,1210,movie,The Rescuer,The Rescuer,0,2011,\N,84,Documentary
135,1211,movie,The Possession,The Possession,0,2012,\N,92,"Horror,Thriller"
136,1212,short,In absentia,In absentia,0,2013,\N,41,"Drama,Romance,Short"
137,1213,movie,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,0,2018,\N,110,Comedy
138,1214,video,Monster Mountain,Monster Mountain,0,2012,\N,91,"Horror,Sci-Fi"
139,1215,movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Family"
140,1216,movie,Satin,Satin,0,2011,\N,84,"Comedy,Drama,Music"
141,1217,movie,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,0,2012,\N,100,"Drama,Fantasy,Horror"
142,1218,movie,L'apocalisse delle scimmie,L'apocalisse delle scimmie,0,2012,\N,\N,Drama
143,1219,movie,The Giver,The Giver,0,2014,\N,97,"Drama,Romance,Sci-Fi"
144,1220,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy"
145,1221,movie,Project x27,The Devil Inside,0,2010,\N,\N,"Horror,Thriller"
146,1222,movie,Alita: Battle Angel,Alita: Battle Angel,0,2018,\N,\N,"Action,Adventure,Romance"
147,1223,movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",0,2010,\N,93,"Adventure,Romance"
148,1224,movie,Untitled The Flash Film,Untitled The Flash Film,0,2020,\N,\N,"Action,Adventure,Fantasy"
149,1225,movie,Moving Target,Moving Target,0,2011,\N,\N,"Drama,Thriller"
150,1226,movie,Seguranvßa Nacional,Seguranvßa Nacional,0,2010,\N,86,Action
151,1227,movie,Stolen Memories,Stolen Memories,0,2012,\N,\N,Documentary
152,1228,movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,0,2010,\N,90,Documentary
153,1229,movie,Danger Close,Danger Close,0,2019,\N,\N,"Action,Drama,War"
154,1230,movie,Lincoln,Lincoln,0,2012,\N,150,"Biography,Drama,History"
155,1231,movie,Milenge Milenge,Milenge Milenge,0,2010,\N,109,"Drama,Romance"
156,1232,movie,Before We Go,Before We Go,0,2014,\N,95,"Comedy,Drama,Romance"
157,1233,movie,The History of Love,The History of Love,0,2016,\N,134,"Drama,Romance,War"
158,1234,movie,Vidas pequev±as,Vidas pequev±as,0,2010,\N,115,Drama
159,1235,movie,7 Days,Les 7 jours du talion,0,2010,\N,105,"Crime,Drama,Horror"
160,1236,movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,0,2010,\N,112,"Action,Comedy,Romance"
161,1237,tvMovie,The Corrections,The Corrections,0,2012,\N,\N,Drama
162,1238,movie,Dream Street,Dream Street,0,2010,\N,\N,Drama
163,1239,movie,Surviving in L.A.,Surviving in L.A.,0,2018,\N,\N,"Comedy,Drama,Romance"
164,1240,movie,A Bird of the Air,A Bird of the Air,0,2011,\N,108,"Drama,Romance"
165,1241,movie,Shazam!,Shazam!,0,2019,\N,\N,"Action,Fantasy,Sci-Fi"
166,1242,tvSeries,Tanging yaman,Tanging yaman,0,2010,\N,\N,Drama
167,1243,movie,Puss in Boots,Puss in Boots,0,2011,\N,90,"Action,Adventure,Animation"
168,1244,movie,Diary of a Bad Lad,Diary of a Bad Lad,0,2010,\N,92,"Comedy,Crime"
169,1245,movie,Mad World,Mad World,0,2010,\N,98,Drama
170,1246,movie,The Passing,The Passing,0,2011,\N,92,Horror
171,1247,movie,Clawed,Sludge,0,2017,\N,95,Horror
172,1248,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy"
173,1249,movie,Blunt Movie,Blunt Movie,0,2013,\N,83,"Comedy,Romance"
174,1250,movie,Party Crashers,Os Penetras,0,2012,\N,88,Comedy
175,1251,movie,42,42,0,2013,\N,128,"Biography,Drama,Sport"
176,1252,movie,El hada buena - Una fv°bula peronista,El hada buena - Una fv°bula peronista,0,2010,\N,85,"Comedy,Drama,Sci-Fi"
177,1253,movie,Life of Pi,Life of Pi,0,2012,\N,127,"Adventure,Drama,Fantasy"
178,1254,movie,Being Flynn,Being Flynn,0,2012,\N,102,Drama
179,1255,movie,The Crazies,The Crazies,0,2010,\N,101,"Horror,Thriller"
180,1256,movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller"
181,1257,movie,Memorias del desarrollo,Memorias del desarrollo,0,2010,\N,113,Drama
182,1258,movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,\N,124,"Action,Adventure,Sci-Fi"
183,1259,movie,A Long Way Down,A Long Way Down,0,2014,\N,96,"Comedy,Drama"
184,1260,movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,0,2014,\N,102,"Crime,Thriller"
185,1261,movie,Generation P,Generation P,0,2011,\N,112,"Comedy,Drama,Sci-Fi"
186,1262,video,One Step Beyond,One Step Beyond,0,2012,\N,56,Documentary
187,1263,movie,Drunkboat,Drunkboat,0,2010,\N,98,Drama
188,1264,movie,The Grasslands,The Grasslands,0,2011,\N,114,Drama
189,1265,movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama
190,1266,movie,Texxas Jam '78,Texxas Jam '78,0,2012,\N,60,Documentary
191,1267,short,Career Day,Career Day,0,2016,\N,8,"Comedy,Family,Short"
192,1268,movie,Saving Private Perez,Salvando al Soldado Pv©rez,0,2011,\N,105,"Adventure,Comedy,Western"
